Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Germany,DEU,,,,,,,,,,,,,3600,4670,5800,6720,7130,7670,8870,11050,13010,12540,11120,10020,9880,9840,11240,14240,18620,19760,21300,22890,25810,25990,27530,29520,30860,30140,27950,26840,26150,24740,23610,26080,31570,35710,38230,40440,43570,43520,44550,47220,46530,47190,47620,45810,44230,43570,47050,48600
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730,2870,2990,3260,3310
Dominica,DMA,,,,,,,,,,,,,,,,,,,,710,960,1160,1210,1220,1330,1480,1790,2170,2560,2600,2810,2960,3200,3410,3490,3720,3890,4010,4200,4200,4220,4470,4270,4680,4950,5050,5490,5760,6340,6520,6730,6920,6730,6780,7020,6870,7340,7060,7710,7920
Denmark,DNK,,,,,,,,,2870,3140,3310,3670,4310,5580,6800,8080,8960,9780,11170,13560,15090,14180,12860,11710,11520,11840,14070,17760,22130,23050,24370,25540,28700,28570,30360,32560,34770,35150,33460,33060,32580,31410,30850,34750,42640,49610,53540,55740,60390,60090,61220,61990,61650,63200,63670,60510,58040,56190,61020,64000
Dominican Republic,DOM,,,220,240,260,230,250,250,250,280,340,370,430,520,610,710,780,830,900,1030,1140,1210,1240,1240,1300,1100,1030,940,920,910,870,1040,1340,1610,1740,1960,2170,2360,2450,2540,2680,2740,2890,2640,2560,3040,3640,4430,4760,4920,5330,5540,5790,6030,6330,6580,6860,7090,7760,8080
Algeria,DZA,,,,,240,250,230,250,280,310,330,320,440,530,710,910,1060,1100,1320,1640,1990,2200,2260,2190,2270,2400,2590,2810,2750,2550,2370,1980,1900,1730,1620,1550,1520,1510,1540,1530,1590,1670,1730,1920,2250,2710,3100,3600,4210,4290,4480,4600,5170,5510,5490,4850,4380,3950,3980,4010
East Asia & Pacific (excluding high income),EAP,,,71.31536022,77.57934412,86.2447879,97.71851619,105.7272984,99.72077241,96.54926229,108.1837972,121.1756951,124.587726,131.5697386,158.8591332,185.9394277,216.3379529,211.5685465,225.0125268,238.7070519,263.559828,291.3299617,308.2213034,307.7753789,303.7608191,321.9136852,344.4121397,365.7709262,382.0647682,401.5977642,403.3766364,418.8139112,448.9335946,498.5161524,541.49019,607.9098972,699.2985664,813.9478125,882.1927136,828.3522957,852.5014701,910.9858761,982.9247949,1064.778761,1210.019549,1423.342189,1636.876346,1894.221584,2273.249179,2770.042582,3214.325113,3758.82649,4341.65912,5074.762444,5707.69443,6210.348992,6471.958288,6681.277876,7018.988166,7690.370448,8285.401034
Early-demographic dividend,EAR,,,,,,,,198.5901771,204.1349375,217.8701683,229.5862532,242.0917325,258.2939759,305.6319181,387.5684191,462.5706018,497.0491819,508.7046855,547.9486066,639.0650888,755.2459884,853.5573297,834.3408679,774.9977192,747.6272028,747.9603999,772.0323557,808.7362725,837.6616576,807.0492313,842.9291363,885.1413595,979.769607,1033.767023,1087.160229,1112.626508,1164.635884,1201.436075,1171.410101,1184.253044,1247.778817,1266.09655,1234.418057,1310.492058,1486.775656,1700.440107,1907.232299,2156.114643,2415.094566,2499.321749,2725.674594,2968.788465,3274.315697,3409.96154,3446.144377,3365.397593,3322.937283,3372.856381,3538.720117,3626.538871
East Asia & Pacific,EAS,,,142.7436121,156.1580256,174.7576259,193.5338146,212.7978026,223.8111143,242.9899342,276.5015943,304.6690783,333.9553461,393.6904879,500.7308345,607.1385901,706.7927765,731.724425,790.5766513,933.264778,1133.083917,1286.529866,1337.220931,1289.338416,1255.489652,1295.287894,1381.094698,1586.777126,1937.86159,2475.345531,2653.730825,2756.284583,2865.978729,3067.728794,3317.326609,3639.965294,4102.087022,4310.524003,4182.823308,3664.245794,3627.384398,3836.317236,3922.165053,3878.218287,4060.448879,4567.93269,5000.635305,5289.573622,5662.89237,6173.584979,6523.297463,7339.116825,8139.698099,9108.218919,9709.995937,9941.990966,9830.233139,9903.318139,10246.74414,11099.88388,11718.03632
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2373.867129,2241.364183,2155.593518,1918.046342,1942.232112,1944.975718,2020.83251,1857.349376,1714.133554,1798.89161,1710.056034,1866.922246,2208.301404,2905.24807,3741.542736,4634.109339,5742.558492,6978.112762,6861.846902,7403.87664,8070.452182,9314.239395,10289.88732,10187.10196,8804.299959,7641.999443,7307.410271,7692.104991,8036.588137
